index,binder_name,page_number,slot_number,set_id,set_name,card_number,card_id,card_name,card_market_value
2-4-6,2,4,6,base4,NOT_FOUND,33,base4-33,,0.0
2-4-7,2,4,7,base4,NOT_FOUND,34,base4-34,,0.0
2-4-8,2,4,8,base4,NOT_FOUND,35,base4-35,,0.0
2-4-9,2,4,9,base4,NOT_FOUND,36,base4-36,,0.0
2-5-1,2,5,1,base4,NOT_FOUND,37,base4-37,,0.0
2-5-2,2,5,2,base4,NOT_FOUND,38,base4-38,,0.0
2-5-3,2,5,3,base4,NOT_FOUND,39,base4-39,,0.0
2-5-4,2,5,4,base4,NOT_FOUND,40,base4-40,,0.0
2-5-5,2,5,5,base4,NOT_FOUND,41,base4-41,,0.0
2-5-6,2,5,6,base4,NOT_FOUND,42,base4-42,,0.0
2-5-7,2,5,7,base4,NOT_FOUND,43,base4-43,,0.0
2-5-8,2,5,8,base4,NOT_FOUND,44,base4-44,,0.0
2-5-9,2,5,9,base4,NOT_FOUND,45,base4-45,,0.0
2-6-1,2,6,1,base4,NOT_FOUND,46,base4-46,,0.0
2-6-2,2,6,2,base4,NOT_FOUND,47,base4-47,,0.0
2-6-3,2,6,3,base4,NOT_FOUND,48,base4-48,,0.0
2-6-4,2,6,4,base4,NOT_FOUND,49,base4-49,,0.0
2-6-5,2,6,5,base4,NOT_FOUND,50,base4-50,,0.0
2-6-6,2,6,6,base4,NOT_FOUND,51,base4-51,,0.0
2-6-7,2,6,7,base4,NOT_FOUND,52,base4-52,,0.0
2-6-8,2,6,8,base4,NOT_FOUND,53,base4-53,,0.0
2-6-9,2,6,9,base4,NOT_FOUND,54,base4-54,,0.0
2-7-1,2,7,1,base4,NOT_FOUND,55,base4-55,,0.0
2-7-2,2,7,2,base4,NOT_FOUND,56,base4-56,,0.0
2-7-3,2,7,3,base4,NOT_FOUND,57,base4-57,,0.0
2-7-4,2,7,4,base4,NOT_FOUND,58,base4-58,,0.0
2-7-5,2,7,5,base4,NOT_FOUND,59,base4-59,,0.0
2-7-6,2,7,6,base4,NOT_FOUND,60,base4-60,,0.0
2-7-7,2,7,7,base4,NOT_FOUND,61,base4-61,,0.0
2-7-8,2,7,8,base4,NOT_FOUND,62,base4-62,,0.0
2-7-9,2,7,9,base4,NOT_FOUND,63,base4-63,,0.0
2-8-1,2,8,1,base4,NOT_FOUND,64,base4-64,,0.0
2-8-2,2,8,2,base4,NOT_FOUND,65,base4-65,,0.0
2-8-3,2,8,3,base4,NOT_FOUND,66,base4-66,,0.0
2-8-4,2,8,4,base4,NOT_FOUND,67,base4-67,,0.0
2-8-5,2,8,5,base4,NOT_FOUND,68,base4-68,,0.0
2-8-6,2,8,6,base4,NOT_FOUND,69,base4-69,,0.0
2-8-7,2,8,7,base4,NOT_FOUND,70,base4-70,,0.0
2-8-8,2,8,8,base4,NOT_FOUND,71,base4-71,,0.0
2-8-9,2,8,9,base4,NOT_FOUND,72,base4-72,,0.0
2-9-1,2,9,1,base4,NOT_FOUND,73,base4-73,,0.0
2-9-2,2,9,2,base4,NOT_FOUND,74,base4-74,,0.0
2-9-3,2,9,3,base4,NOT_FOUND,75,base4-75,,0.0
2-9-4,2,9,4,base4,NOT_FOUND,76,base4-76,,0.0
2-9-5,2,9,5,base4,NOT_FOUND,77,base4-77,,0.0
2-9-6,2,9,6,base4,NOT_FOUND,78,base4-78,,0.0
2-9-7,2,9,7,base4,NOT_FOUND,79,base4-79,,0.0
2-9-8,2,9,8,base4,NOT_FOUND,80,base4-80,,0.0
2-9-9,2,9,9,base4,NOT_FOUND,81,base4-81,,0.0
2-10-1,2,10,1,base4,NOT_FOUND,82,base4-82,,0.0
2-10-2,2,10,2,base4,NOT_FOUND,83,base4-83,,0.0
2-10-3,2,10,3,base4,NOT_FOUND,84,base4-84,,0.0
2-10-4,2,10,4,base4,NOT_FOUND,85,base4-85,,0.0
2-10-5,2,10,5,base4,NOT_FOUND,86,base4-86,,0.0
2-10-6,2,10,6,base4,NOT_FOUND,87,base4-87,,0.0
2-10-7,2,10,7,base4,NOT_FOUND,88,base4-88,,0.0
2-10-8,2,10,8,base4,NOT_FOUND,89,base4-89,,0.0
2-10-9,2,10,9,base4,NOT_FOUND,90,base4-90,,0.0
2-11-1,2,11,1,base4,NOT_FOUND,91,base4-91,,0.0
2-11-2,2,11,2,base4,NOT_FOUND,92,base4-92,,0.0
2-11-3,2,11,3,base4,NOT_FOUND,93,base4-93,,0.0
2-11-4,2,11,4,base4,NOT_FOUND,94,base4-94,,0.0
2-11-5,2,11,5,base4,NOT_FOUND,95,base4-95,,0.0
2-11-6,2,11,6,base4,NOT_FOUND,96,base4-96,,0.0
2-11-7,2,11,7,base4,NOT_FOUND,97,base4-97,,0.0
2-11-8,2,11,8,base4,NOT_FOUND,98,base4-98,,0.0
2-11-9,2,11,9,base4,NOT_FOUND,99,base4-99,,0.0
2-12-1,2,12,1,base4,NOT_FOUND,100,base4-100,,0.0
2-12-2,2,12,2,base4,NOT_FOUND,101,base4-101,,0.0
2-12-3,2,12,3,base4,NOT_FOUND,102,base4-102,,0.0
2-12-4,2,12,4,base4,NOT_FOUND,103,base4-103,,0.0
2-12-5,2,12,5,base4,NOT_FOUND,104,base4-104,,0.0
2-12-6,2,12,6,base4,NOT_FOUND,105,base4-105,,0.0
2-12-7,2,12,7,base4,NOT_FOUND,106,base4-106,,0.0
2-12-8,2,12,8,base4,NOT_FOUND,107,base4-107,,0.0
2-12-9,2,12,9,base4,NOT_FOUND,108,base4-108,,0.0
2-13-1,2,13,1,base4,NOT_FOUND,109,base4-109,,0.0
2-13-2,2,13,2,base4,NOT_FOUND,110,base4-110,,0.0
2-13-3,2,13,3,base4,NOT_FOUND,111,base4-111,,0.0
2-13-4,2,13,4,base4,NOT_FOUND,112,base4-112,,0.0
2-13-5,2,13,5,base4,NOT_FOUND,113,base4-113,,0.0
2-13-6,2,13,6,base4,NOT_FOUND,114,base4-114,,0.0
2-13-7,2,13,7,base4,NOT_FOUND,115,base4-115,,0.0
2-13-8,2,13,8,base4,NOT_FOUND,116,base4-116,,0.0
2-13-9,2,13,9,base4,NOT_FOUND,117,base4-117,,0.0
2-14-1,2,14,1,base4,NOT_FOUND,118,base4-118,,0.0
2-14-2,2,14,2,base4,NOT_FOUND,119,base4-119,,0.0
2-14-3,2,14,3,base4,NOT_FOUND,120,base4-120,,0.0
2-14-4,2,14,4,base4,NOT_FOUND,121,base4-121,,0.0
2-14-5,2,14,5,base4,NOT_FOUND,122,base4-122,,0.0
2-14-6,2,14,6,base4,NOT_FOUND,123,base4-123,,0.0
2-14-7,2,14,7,base4,NOT_FOUND,124,base4-124,,0.0
2-14-8,2,14,8,base4,NOT_FOUND,125,base4-125,,0.0
2-14-9,2,14,9,base4,NOT_FOUND,126,base4-126,,0.0
2-15-1,2,15,1,base4,NOT_FOUND,127,base4-127,,0.0
2-15-2,2,15,2,base4,NOT_FOUND,128,base4-128,,0.0
2-15-3,2,15,3,base4,NOT_FOUND,129,base4-129,,0.0
2-15-4,2,15,4,base4,NOT_FOUND,130,base4-130,,0.0
2-15-5,2,15,5,base4,NOT_FOUND,4,base4-4,,0.0
2-15-6,2,15,6,base4,NOT_FOUND,2,base4-2,,0.0
2-15-7,2,15,7,base4,NOT_FOUND,18,base4-18,,0.0
2-15-8,2,15,8,base4,NOT_FOUND,10,base4-10,,0.0
2-15-9,2,15,9,base4,NOT_FOUND,20,base4-20,,0.0
2-16-1,2,16,1,base4,NOT_FOUND,16,base4-16,,0.0
2-16-2,2,16,2,base4,NOT_FOUND,17,base4-17,,0.0
2-16-3,2,16,3,base4,NOT_FOUND,19,base4-19,,0.0
2-16-4,2,16,4,base4,NOT_FOUND,14,base4-14,,0.0
2-16-5,2,16,5,base4,NOT_FOUND,12,base4-12,,0.0
2-16-6,2,16,6,base4,NOT_FOUND,11,base4-11,,0.0
2-16-7,2,16,7,base4,NOT_FOUND,1,base4-1,,0.0
2-16-8,2,16,8,base4,NOT_FOUND,7,base4-7,,0.0
2-16-9,2,16,9,base4,NOT_FOUND,3,base4-3,,0.0
2-17-1,2,17,1,base4,NOT_FOUND,5,base4-5,,0.0
2-17-2,2,17,2,base4,NOT_FOUND,87,base4-87,,0.0
2-17-3,2,17,3,base4,NOT_FOUND,67,base4-67,,0.0
2-17-4,2,17,4,base4,NOT_FOUND,69,base4-69,,0.0
2-17-5,2,17,5,base4,NOT_FOUND,93,base4-93,,0.0
2-17-6,2,17,6,base4,NOT_FOUND,86,base4-86,,0.0
2-17-7,2,17,7,base4,NOT_FOUND,89,base4-89,,0.0
2-17-8,2,17,8,base4,NOT_FOUND,6,base4-6,,0.0
2-17-9,2,17,9,base4,NOT_FOUND,50,base4-50,,0.0
2-18-1,2,18,1,base4,NOT_FOUND,65,base4-65,,0.0
2-18-2,2,18,2,base4,NOT_FOUND,78,base4-78,,0.0
2-18-3,2,18,3,base4,NOT_FOUND,79,base4-79,,0.0
2-18-4,2,18,4,base4,NOT_FOUND,75,base4-75,,0.0
2-18-5,2,18,5,base4,NOT_FOUND,99,base4-99,,0.0
2-18-6,2,18,6,base4,NOT_FOUND,60,base4-60,,0.0
2-18-7,2,18,7,base4,NOT_FOUND,100,base4-100,,0.0
2-18-8,2,18,8,base4,NOT_FOUND,68,base4-68,,0.0
2-18-9,2,18,9,base4,NOT_FOUND,88,base4-88,,0.0
2-19-1,2,19,1,base4,NOT_FOUND,57,base4-57,,0.0
2-19-2,2,19,2,base4,NOT_FOUND,44,base4-44,,0.0
2-19-3,2,19,3,base4,NOT_FOUND,63,base4-63,,0.0
2-19-4,2,19,4,base4,NOT_FOUND,35,base4-35,,0.0
2-19-5,2,19,5,base4,NOT_FOUND,46,base4-46,,0.0
2-19-6,2,19,6,base4,NOT_FOUND,49,base4-49,,0.0
2-19-7,2,19,7,base4,NOT_FOUND,47,base4-47,,0.0
2-19-8,2,19,8,base4,NOT_FOUND,81,base4-81,,0.0
2-19-9,2,19,9,base4,NOT_FOUND,22,base4-22,,0.0
2-20-1,2,20,1,base4,NOT_FOUND,38,base4-38,,0.0
2-20-2,2,20,2,base4,NOT_FOUND,42,base4-42,,0.0
2-20-3,2,20,3,base4,NOT_FOUND,33,base4-33,,0.0
2-20-4,2,20,4,base4,NOT_FOUND,25,base4-25,,0.0
2-20-5,2,20,5,base4,NOT_FOUND,24,base4-24,,0.0
2-20-6,2,20,6,base4,NOT_FOUND,124,base4-124,,0.0
2-20-7,2,20,7,base4,NOT_FOUND,116,base4-116,,0.0
2-20-8,2,20,8,base4,NOT_FOUND,118,base4-118,,0.0
2-20-9,2,20,9,base4,NOT_FOUND,119,base4-119,,0.0
1-1-1,1,1,1,base1,NOT_FOUND,1,base1-1,,0.0
1-1-2,1,1,2,base1,NOT_FOUND,2,base1-2,,0.0
1-1-3,1,1,3,base1,NOT_FOUND,3,base1-3,,0.0
1-1-4,1,1,4,base1,NOT_FOUND,4,base1-4,,0.0
1-1-5,1,1,5,base1,NOT_FOUND,5,base1-5,,0.0
1-1-6,1,1,6,base1,NOT_FOUND,6,base1-6,,0.0
1-1-7,1,1,7,base1,NOT_FOUND,7,base1-7,,0.0
1-1-8,1,1,8,base1,NOT_FOUND,8,base1-8,,0.0
1-1-9,1,1,9,base1,NOT_FOUND,9,base1-9,,0.0
1-2-1,1,2,1,base1,NOT_FOUND,10,base1-10,,0.0
1-2-2,1,2,2,base1,NOT_FOUND,11,base1-11,,0.0
1-2-3,1,2,3,base1,NOT_FOUND,12,base1-12,,0.0
1-2-4,1,2,4,base1,NOT_FOUND,13,base1-13,,0.0
1-2-5,1,2,5,base1,NOT_FOUND,14,base1-14,,0.0
1-2-6,1,2,6,base1,NOT_FOUND,15,base1-15,,0.0
1-2-7,1,2,7,base1,NOT_FOUND,16,base1-16,,0.0
1-2-8,1,2,8,base1,NOT_FOUND,17,base1-17,,0.0
1-2-9,1,2,9,base1,NOT_FOUND,18,base1-18,,0.0
1-3-1,1,3,1,base1,NOT_FOUND,19,base1-19,,0.0
1-3-2,1,3,2,base1,NOT_FOUND,20,base1-20,,0.0
1-3-3,1,3,3,base1,NOT_FOUND,21,base1-21,,0.0
1-3-4,1,3,4,base1,NOT_FOUND,22,base1-22,,0.0
1-3-5,1,3,5,base1,NOT_FOUND,23,base1-23,,0.0
1-3-6,1,3,6,base1,NOT_FOUND,24,base1-24,,0.0
1-3-7,1,3,7,base1,NOT_FOUND,25,base1-25,,0.0
1-3-8,1,3,8,base1,NOT_FOUND,26,base1-26,,0.0
1-3-9,1,3,9,base1,NOT_FOUND,27,base1-27,,0.0
1-4-1,1,4,1,base1,NOT_FOUND,28,base1-28,,0.0
1-4-2,1,4,2,base1,NOT_FOUND,29,base1-29,,0.0
1-4-3,1,4,3,base1,NOT_FOUND,30,base1-30,,0.0
1-4-4,1,4,4,base1,NOT_FOUND,31,base1-31,,0.0
1-4-5,1,4,5,base1,NOT_FOUND,32,base1-32,,0.0
1-4-6,1,4,6,base1,NOT_FOUND,33,base1-33,,0.0
1-4-7,1,4,7,base1,NOT_FOUND,34,base1-34,,0.0
1-4-8,1,4,8,base1,NOT_FOUND,35,base1-35,,0.0
1-4-9,1,4,9,base1,NOT_FOUND,36,base1-36,,0.0
1-5-1,1,5,1,base1,NOT_FOUND,37,base1-37,,0.0
1-5-2,1,5,2,base1,NOT_FOUND,38,base1-38,,0.0
1-5-3,1,5,3,base1,NOT_FOUND,39,base1-39,,0.0
1-5-4,1,5,4,base1,NOT_FOUND,40,base1-40,,0.0
1-5-5,1,5,5,base1,NOT_FOUND,41,base1-41,,0.0
1-5-6,1,5,6,base1,NOT_FOUND,42,base1-42,,0.0
1-5-7,1,5,7,base1,NOT_FOUND,43,base1-43,,0.0
1-5-8,1,5,8,base1,NOT_FOUND,44,base1-44,,0.0
1-5-9,1,5,9,base1,NOT_FOUND,45,base1-45,,0.0
1-6-1,1,6,1,base1,NOT_FOUND,46,base1-46,,0.0
1-6-2,1,6,2,base1,NOT_FOUND,47,base1-47,,0.0
1-6-3,1,6,3,base1,NOT_FOUND,48,base1-48,,0.0
1-6-4,1,6,4,base1,NOT_FOUND,49,base1-49,,0.0
1-6-5,1,6,5,base1,NOT_FOUND,50,base1-50,,0.0
1-6-6,1,6,6,base1,NOT_FOUND,51,base1-51,,0.0
1-6-7,1,6,7,base1,NOT_FOUND,52,base1-52,,0.0
1-6-8,1,6,8,base1,NOT_FOUND,53,base1-53,,0.0
1-6-9,1,6,9,base1,NOT_FOUND,54,base1-54,,0.0
1-7-1,1,7,1,base1,NOT_FOUND,55,base1-55,,0.0
1-7-2,1,7,2,base1,NOT_FOUND,56,base1-56,,0.0
1-7-3,1,7,3,base1,NOT_FOUND,57,base1-57,,0.0
1-7-4,1,7,4,base1,NOT_FOUND,58,base1-58,,0.0
1-7-5,1,7,5,base1,NOT_FOUND,59,base1-59,,0.0
1-7-6,1,7,6,base1,NOT_FOUND,60,base1-60,,0.0
1-7-7,1,7,7,base1,NOT_FOUND,61,base1-61,,0.0
1-7-8,1,7,8,base1,NOT_FOUND,62,base1-62,,0.0
1-7-9,1,7,9,base1,NOT_FOUND,63,base1-63,,0.0
1-8-1,1,8,1,base1,NOT_FOUND,64,base1-64,,0.0
1-8-2,1,8,2,base1,NOT_FOUND,65,base1-65,,0.0
1-8-3,1,8,3,base1,NOT_FOUND,66,base1-66,,0.0
1-8-4,1,8,4,base1,NOT_FOUND,67,base1-67,,0.0
1-8-5,1,8,5,base1,NOT_FOUND,68,base1-68,,0.0
1-8-6,1,8,6,base1,NOT_FOUND,69,base1-69,,0.0
1-8-7,1,8,7,base1,NOT_FOUND,70,base1-70,,0.0
1-8-8,1,8,8,base1,NOT_FOUND,71,base1-71,,0.0
1-8-9,1,8,9,base1,NOT_FOUND,72,base1-72,,0.0
1-9-1,1,9,1,base1,NOT_FOUND,73,base1-73,,0.0
1-9-2,1,9,2,base1,NOT_FOUND,74,base1-74,,0.0
1-9-3,1,9,3,base1,NOT_FOUND,75,base1-75,,0.0
1-9-4,1,9,4,base1,NOT_FOUND,76,base1-76,,0.0
1-9-5,1,9,5,base1,NOT_FOUND,77,base1-77,,0.0
1-9-6,1,9,6,base1,NOT_FOUND,78,base1-78,,0.0
1-9-7,1,9,7,base1,NOT_FOUND,79,base1-79,,0.0
1-9-8,1,9,8,base1,NOT_FOUND,80,base1-80,,0.0
1-9-9,1,9,9,base1,NOT_FOUND,81,base1-81,,0.0
1-10-1,1,10,1,base1,NOT_FOUND,82,base1-82,,0.0
1-10-2,1,10,2,base1,NOT_FOUND,83,base1-83,,0.0
1-10-3,1,10,3,base1,NOT_FOUND,84,base1-84,,0.0
1-10-4,1,10,4,base1,NOT_FOUND,85,base1-85,,0.0
1-10-5,1,10,5,base1,NOT_FOUND,86,base1-86,,0.0
1-10-6,1,10,6,base1,NOT_FOUND,87,base1-87,,0.0
1-10-7,1,10,7,base1,NOT_FOUND,88,base1-88,,0.0
1-10-8,1,10,8,base1,NOT_FOUND,89,base1-89,,0.0
1-10-9,1,10,9,base1,NOT_FOUND,90,base1-90,,0.0
1-11-1,1,11,1,base1,NOT_FOUND,91,base1-91,,0.0
1-11-2,1,11,2,base1,NOT_FOUND,92,base1-92,,0.0
1-11-3,1,11,3,base1,NOT_FOUND,93,base1-93,,0.0
1-11-4,1,11,4,base1,NOT_FOUND,94,base1-94,,0.0
1-11-5,1,11,5,base1,NOT_FOUND,95,base1-95,,0.0
1-11-6,1,11,6,base1,NOT_FOUND,96,base1-96,,0.0
1-11-7,1,11,7,base1,NOT_FOUND,97,base1-97,,0.0
1-11-8,1,11,8,base1,NOT_FOUND,98,base1-98,,0.0
1-11-9,1,11,9,base1,NOT_FOUND,99,base1-99,,0.0
1-12-1,1,12,1,base1,NOT_FOUND,100,base1-100,,0.0
1-12-2,1,12,2,base1,NOT_FOUND,101,base1-101,,0.0
1-12-3,1,12,3,base1,NOT_FOUND,102,base1-102,,0.0
1-12-4,1,12,4,base1,NOT_FOUND,4,base1-4,,0.0
1-12-5,1,12,5,base1,NOT_FOUND,2,base1-2,,0.0
1-12-6,1,12,6,base1,NOT_FOUND,15,base1-15,,0.0
1-12-7,1,12,7,base1,NOT_FOUND,10,base1-10,,0.0
1-12-8,1,12,8,base1,NOT_FOUND,16,base1-16,,0.0
1-12-9,1,12,9,base1,NOT_FOUND,14,base1-14,,0.0
1-13-1,1,13,1,base1,NOT_FOUND,1,base1-1,,0.0
1-13-2,1,13,2,base1,NOT_FOUND,3,base1-3,,0.0
1-13-3,1,13,3,base1,NOT_FOUND,12,base1-12,,0.0
1-13-4,1,13,4,base1,NOT_FOUND,8,base1-8,,0.0
1-13-5,1,13,5,base1,NOT_FOUND,4,base1-4,,0.0
1-13-6,1,13,6,base1,NOT_FOUND,10,base1-10,,0.0
1-13-7,1,13,7,base1,NOT_FOUND,58,base1-58,,0.0
1-13-8,1,13,8,base1,NOT_FOUND,44,base1-44,,0.0
1-13-9,1,13,9,base1,NOT_FOUND,46,base1-46,,0.0
1-14-1,1,14,1,base1,NOT_FOUND,63,base1-63,,0.0
1-14-2,1,14,2,base1,NOT_FOUND,57,base1-57,,0.0
1-14-3,1,14,3,base1,NOT_FOUND,61,base1-61,,0.0
1-14-4,1,14,4,base1,NOT_FOUND,5,base1-5,,0.0
1-14-5,1,14,5,base1,NOT_FOUND,31,base1-31,,0.0
1-14-6,1,14,6,base1,NOT_FOUND,35,base1-35,,0.0
1-14-7,1,14,7,base1,NOT_FOUND,43,base1-43,,0.0
1-14-8,1,14,8,base1,NOT_FOUND,52,base1-52,,0.0
1-14-9,1,14,9,base1,NOT_FOUND,53,base1-53,,0.0
1-15-1,1,15,1,base1,NOT_FOUND,51,base1-51,,0.0
1-15-2,1,15,2,base1,NOT_FOUND,50,base1-50,,0.0
1-15-3,1,15,3,base1,NOT_FOUND,68,base1-68,,0.0
1-15-4,1,15,4,base1,NOT_FOUND,60,base1-60,,0.0
1-15-5,1,15,5,base1,NOT_FOUND,49,base1-49,,0.0
1-15-6,1,15,6,base1,NOT_FOUND,47,base1-47,,0.0
1-15-7,1,15,7,base1,NOT_FOUND,69,base1-69,,0.0
1-15-8,1,15,8,base1,NOT_FOUND,45,base1-45,,0.0
1-15-9,1,15,9,base1,NOT_FOUND,55,base1-55,,0.0
1-16-1,1,16,1,base1,NOT_FOUND,59,base1-59,,0.0
1-16-2,1,16,2,base1,NOT_FOUND,38,base1-38,,0.0
1-16-3,1,16,3,base1,NOT_FOUND,30,base1-30,,0.0
1-16-4,1,16,4,base1,NOT_FOUND,42,base1-42,,0.0
1-16-5,1,16,5,base1,NOT_FOUND,24,base1-24,,0.0
1-16-6,1,16,6,base1,NOT_FOUND,32,base1-32,,0.0
1-16-7,1,16,7,base1,NOT_FOUND,34,base1-34,,0.0
1-16-8,1,16,8,base1,NOT_FOUND,33,base1-33,,0.0
1-16-9,1,16,9,base1,NOT_FOUND,54,base1-54,,0.0
1-17-1,1,17,1,base1,NOT_FOUND,18,base1-18,,0.0
1-17-2,1,17,2,base1,NOT_FOUND,26,base1-26,,0.0
1-17-3,1,17,3,base1,NOT_FOUND,28,base1-28,,0.0
1-17-4,1,17,4,base1,NOT_FOUND,23,base1-23,,0.0
1-17-5,1,17,5,base1,NOT_FOUND,21,base1-21,,0.0
1-17-6,1,17,6,base1,NOT_FOUND,20,base1-20,,0.0
1-17-7,1,17,7,base1,NOT_FOUND,64,base1-64,,0.0
1-17-8,1,17,8,base1,NOT_FOUND,65,base1-65,,0.0
1-17-9,1,17,9,base1,NOT_FOUND,96,base1-96,,0.0
1-18-1,1,18,1,base1,NOT_FOUND,88,base1-88,,0.0
1-18-2,1,18,2,base1,NOT_FOUND,91,base1-91,,0.0
1-18-3,1,18,3,base1,NOT_FOUND,92,base1-92,,0.0
1-18-4,1,18,4,base1,NOT_FOUND,87,base1-87,,0.0
1-18-5,1,18,5,base1,NOT_FOUND,95,base1-95,,0.0
1-18-6,1,18,6,base1,NOT_FOUND,94,base1-94,,0.0
1-18-7,1,18,7,base1,NOT_FOUND,90,base1-90,,0.0
1-18-8,1,18,8,base1,NOT_FOUND,85,base1-85,,0.0
1-18-9,1,18,9,base1,NOT_FOUND,81,base1-81,,0.0
1-19-1,1,19,1,base1,NOT_FOUND,98,base1-98,,0.0
1-19-2,1,19,2,base1,NOT_FOUND,100,base1-100,,0.0
1-19-3,1,19,3,base1,NOT_FOUND,102,base1-102,,0.0
1-19-4,1,19,4,base1,NOT_FOUND,99,base1-99,,0.0
1-19-5,1,19,5,base1,NOT_FOUND,101,base1-101,,0.0
1-19-6,1,19,6,base1,NOT_FOUND,97,base1-97,,0.0
1-19-7,1,19,7,base1,NOT_FOUND,96,base1-96,,0.0
1-19-8,1,19,8,base1,NOT_FOUND,4,base1-4,,0.0
1-19-9,1,19,9,base1,NOT_FOUND,2,base1-2,,0.0
1-20-1,1,20,1,base1,NOT_FOUND,15,base1-15,,0.0
1-20-2,1,20,2,base1,NOT_FOUND,10,base1-10,,0.0
1-20-3,1,20,3,base1,NOT_FOUND,16,base1-16,,0.0
1-20-4,1,20,4,base1,NOT_FOUND,6,base1-6,,0.0
1-20-5,1,20,5,base1,NOT_FOUND,13,base1-13,,0.0
1-20-6,1,20,6,base1,NOT_FOUND,11,base1-11,,0.0
1-20-7,1,20,7,base1,NOT_FOUND,7,base1-7,,0.0
1-20-8,1,20,8,base1,NOT_FOUND,9,base1-9,,0.0
1-20-9,1,20,9,base1,NOT_FOUND,3,base1-3,,0.0
0-1-1,0,1,1,base0,Base Set,1,base0-1,,65.5
0-2-8,0,2,8,base0,Base Set,4,base0-4,,250.75
0-3-4,0,3,4,base0,Base Set,58,base0-58,,5.15
0-3-5,0,3,5,base0,Base Set,58,base0-58,,5.15

